COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
J FRANKLYN KELLER INTERMEDIATE SCHOOL,Baker,0,0,0,0,0,,0,0,,0,30,19,5,2,4,22,6,2
MACCLENNY ELEMENTARY SCHOOL,Baker,0,0,0,0,0,,0,0,,0,24,19,2,0,3,16,7,1
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
PREK/KINDERGARTEN CENTER,Baker,0,0,0,0,0,,0,0,,0,12,5,3,3,1,10,2,0
WESTSIDE ELEMENTARY SCHOOL,Baker,0,0,0,0,0,,0,0,,0,9,4,1,0,4,6,3,0
A. CRAWFORD MOSLEY HIGH SCHOOL,Bay,2,2,0,0,0,,2,0,,0,108,90,0,5,13,90,14,4
ARNOLD HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
BAY DISTRICT OFFICE,Bay,0,0,0,0,0,,0,0,,0,10,0,0,2,8,10,0,0
BAY HAVEN CHARTER ACADEMY,Bay,0,0,0,0,0,,0,0,,0,52,39,1,2,10,43,7,2
BAY HAVEN CHARTER MIDDLE SCHOOL,Bay,0,0,0,0,0,,0,0,,0,9,8,0,0,1,8,1,0
BAY HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,39,26,2,0,11,34,4,1
BREAKFAST POINT ACADEMY,Bay,0,0,0,0,0,,0,0,,0,24,16,1,0,7,20,4,0
CALLAWAY ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
CALLAWAY ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,12,7,1,1,3,8,4,0
CEDAR GROVE ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,18,16,0,0,2,9,8,1
CENTRAL ACADEMY,Bay,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
CENTRAL HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,2,0,0,1,1,1,0,1
COVENANT CHRISTIAN SCHOOL,Bay,1,1,0,0,0,,0,1,,0,3,1,0,0,2,2,1,0
DEANE BOZEMAN SCHOOL,Bay,0,0,0,0,0,,0,0,,0,61,51,2,2,6,46,13,2
DEER POINT ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,18,12,1,2,3,13,5,0
EAGLE NEST CHRISTIAN ACADEMY,Bay,0,0,0,0,0,,0,0,,0,2,0,1,0,1,2,0,0
HILAND PARK ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,9,3,2,1,3,8,1,0
HOLY NATIVITY EPISCOPAL SCHOOL,Bay,0,0,0,0,0,,0,0,,0,7,7,0,0,0,5,2,0
HUTCHISON BEACH ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,5,3,1,0,1,5,0,0
J.R. ARNOLD HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,83,74,1,0,8,69,10,4
JINKS MIDDLE SCHOOL,Bay,1,1,0,0,0,,1,0,,0,9,7,0,0,2,8,1,0
KALEIDOSCOPE SCHOOL OF DISCOVERY,Bay,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0
LUCILLE MOORE ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,9,5,0,1,3,8,1,0
LYNN HAVEN ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,12,5,0,1,6,11,0,1
MARGARET K. LEWIS IN MILLVILLE,Bay,0,0,0,0,0,,0,0,,0,7,2,2,1,2,5,2,0
MERRIAM CHERRY STREET ELEMENTARY,Bay,0,0,0,0,0,,0,0,,0,8,3,1,1,3,7,1,0
MERRITT BROWN MIDDLE SCHOOL,Bay,0,0,0,0,0,,0,0,,0,18,14,1,0,3,14,3,1
MOSLEY HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
MOWAT MIDDLE PANAMA,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
MOWAT MIDDLE SCHOOL,Bay,0,0,0,0,0,,0,0,,0,25,22,1,0,2,21,4,0
NEW HORIZONS LEARNING CENTER,Bay,0,0,0,0,0,,0,0,,0,6,5,0,0,1,5,1,0
NORTH BAY HAVEN,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
NORTH BAY HAVEN CAREER ACADEMY,Bay,0,0,0,0,0,,0,0,,0,70,58,4,1,7,59,10,1
NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOO,Bay,0,0,0,0,0,,0,0,,0,23,18,2,1,2,17,6,0
NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,Bay,0,0,0,0,0,,0,0,,0,26,24,1,1,0,18,6,2
NORTHSIDE ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,15,11,1,1,2,11,4,0
PALM BAY ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,10,5,0,4,1,8,2,0
PALM BAY PREPARATORY ACADEMY 6-12,Bay,0,0,0,0,0,,0,0,,0,3,1,0,1,1,2,1,0
PARKER ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,14,9,1,1,3,10,4,0
PATRONIS ELEMENTARY SCHOOL,Bay,2,2,0,0,0,,1,1,,0,19,13,2,1,3,14,5,0
RISING LEADERS ACADEMY,Bay,0,0,0,0,0,,0,0,,0,7,7,0,0,0,6,1,0
ROSENWALD HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,9,5,0,0,4,7,2,0
RUTHERFORD HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
RUTHERFORD HIGH SCHOOL,Bay,0,0,0,0,0,,0,0,,0,27,17,2,3,5,23,3,1
SAINT JOHN CATHOLIC SCHOOL,Bay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
SOUTHPORT ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,16,12,3,0,1,14,2,0
SQUARE PEGS LEARNING CENTER,Bay,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ST. ANDREW SCHOOL AT OAKLAND TERRACE,Bay,0,0,0,0,0,,0,0,,0,4,0,0,1,3,4,0,0
SURFSIDE MIDDLE SCHOOL,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
SURFSIDE MIDDLE SCHOOL,Bay,0,0,0,0,0,,0,0,,0,24,17,1,2,4,19,5,0
TOM P. HANEY TECHNICAL CENTER,Bay,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
TOMMY SMITH ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,23,12,2,2,7,19,3,1
TYNDALL ACADEMY,Bay,0,0,0,0,0,,0,0,,0,16,8,2,1,5,11,3,2
UNIVERSITY ACADEMY,Bay,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
UNIVERSITY ACADEMY SABL INC,Bay,0,0,0,0,0,,0,0,,0,21,15,2,0,4,16,5,0
WALLER ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,5,2,0,1,2,5,0,0
WEST BAY ELEMENTARY SCHOOL,Bay,0,0,0,0,0,,0,0,,0,5,1,2,1,1,3,2,0
BRADFORD DISTRICT OFFICE,Bradford,0,0,0,0,0,,0,0,,0,4,0,0,1,3,4,0,0
BRADFORD HIGH SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,65,54,1,3,7,56,7,2
BRADFORD MIDDLE SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,35,24,3,2,6,27,8,0
BROOKER ELEMENTARY SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,12,6,0,1,5,8,3,1
HAMPTON ELEMENTARY SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,11,5,3,1,2,11,0,0
HOPE CHRISTIAN ACADEMY,Bradford,0,0,0,0,0,,0,0,,0,6,4,1,0,1,6,0,0
LAWTEY ELEMENTARY SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,13,7,2,3,1,10,3,0
NORTH FLORIDA TECHNICAL COLLEGE,Bradford,0,0,0,0,0,,0,0,,0,4,2,0,1,1,4,0,0
NORTHSIDE CHRISTIAN ACADEMY,Bradford,0,0,0,0,0,,0,0,,0,10,6,0,0,4,9,1,0
SOUTHSIDE ELEMENTARY SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,23,12,4,3,4,21,2,0
STARKE ELEMENTARY SCHOOL,Bradford,0,0,0,0,0,,0,0,,0,24,17,2,1,4,18,6,0
ABLE ACADEMICS,Brevard,0,0,0,0,0,,0,0,,0,3,0,1,0,2,3,0,0
ANDREW JACKSON MIDDLE SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,13,12,1,0,0,11,0,2
APOLLO ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,36,31,4,1,0,25,7,4
ASCENSION CATHOLIC SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,11,9,2,0,0,6,1,4
ASTRONAUT HIGH SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,43,38,3,2,0,31,5,7
ATLANTIS ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,14,11,1,0,2,12,1,1
AUDUBON ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,13,11,0,0,2,10,1,2
BAYSIDE HIGH SCHOOL,Brevard,1,1,0,0,0,,1,0,,0,85,78,3,2,2,49,16,20
BEHAVIOR EDUCATION CENTER,Brevard,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,1
BETHANY CHRISTIAN SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,7,7,0,0,0,4,3,0
BREAD OF LIFE CHRISTIAN ACADEMY CORP.,Brevard,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
BREVARD ACADEMY INC.,Brevard,0,0,0,0,0,,0,0,,0,9,9,0,0,0,8,0,1
BREVARD ADULT EDUCATION AT MELBOURNE,Brevard,0,0,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0
BREVARD DISTRICT OFFICE,Brevard,0,0,0,0,0,,0,0,,0,7,3,1,0,3,7,0,0
BREVARD PRIVATE ACADEMY,Brevard,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
BRIGHT HORIZONS ACADEMY,Brevard,0,0,0,0,0,,0,0,,0,3,2,1,0,0,2,1,0
CALVARY CHAPEL ACADEMY,Brevard,2,2,0,0,0,,2,0,,0,24,18,3,1,2,18,4,2
CAMBRIDGE ELEMENTARY MAGNET SCHOOL,Brevard,1,1,0,0,0,,1,0,,0,6,6,0,0,0,3,1,2
CAPE VIEW ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,4,2,0,1,1,2,1,1
CENTRAL MIDDLE SCHOOL,Brevard,3,1,0,1,1,,3,0,,0,62,54,3,3,2,46,5,11
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
CHALLENGER 7 ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,10,7,3,0,0,9,0,1
CHRISTA MCAULIFFE ELEMENTARY SCHOOL,Brevard,2,1,1,0,0,,2,0,,0,32,27,4,0,1,22,6,4
COASTAL COMMUNITY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,2,1,1,0,0,2,0,0
COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,32,29,2,0,1,22,5,5
COCOA HIGH SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,40,33,0,4,3,28,4,8
COLUMBIA ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,17,14,1,2,0,9,7,1
COQUINA ELEMENTARY SCHOOL,Brevard,1,1,0,0,0,,0,1,,0,8,8,0,0,0,4,2,2
COVENANT CHRISTIAN SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,50,45,2,0,3,40,5,5
CROTON ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,4,2,0,2,0,4,0,0
DELAURA MIDDLE SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,18,15,2,1,0,15,2,1
DEVEREUX HOSPITAL,Brevard,0,0,0,0,0,,0,0,,0,2,0,0,1,1,2,0,0
DEVEREUX SCHOOL OF VIERA,Brevard,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
DISCOVERY ELEMENTARY SCHOOL,Brevard,1,1,0,0,0,,0,1,,0,30,25,2,1,2,18,10,2
DIVINE MERCY CATHOLIC ACADEMY,Brevard,0,0,0,0,0,,0,0,,0,4,2,1,0,1,3,0,1
DR. W.J. CREEL ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,7,3,1,1,2,6,1,0
EAST ATLANTIC PREP OF BREVARD COUNTY,Brevard,0,0,0,0,0,,0,0,,0,2,2,0,0,0,0,2,0
EAU GALLIE HIGH SCHOOL,Brevard,1,1,0,0,0,,0,0,,1,77,63,6,2,6,59,8,10
EDGEWOOD JR/SR HIGH SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,31,27,2,1,1,25,5,1
EDUCATIONAL HORIZONS CHARTER,Brevard,1,1,0,0,0,,0,1,,0,4,4,0,0,0,2,2,0
EINSTEIN MONTESSORI ACADEMY,Brevard,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0
EL SINAI CHRISTIAN ACADEMY,Brevard,0,0,0,0,0,,0,0,,0,6,5,0,1,0,6,0,0
EMMA JEWEL CHARTER ACADEMY,Brevard,0,0,0,0,0,,0,0,,0,11,6,1,3,1,9,1,1
ENDEAVOUR ELEMENTARY SCHOOL,Brevard,1,1,0,0,0,,1,0,,0,19,13,2,0,4,14,4,1
ENTERPRISE ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,12,5,4,3,0,12,0,0
FAIRGLEN ELEMENTARY SCHOOL,Brevard,0,0,0,0,0,,0,0,,0,15,9,5,0,1,11,1,3
FLORIDA PREPARATORY ACADEMY - MELBOURNE,Brevard,0,0,0,0,0,,0,0,,0,3,3,0,0,0,3,0,0
